sample	samples	cancer type abbreviation	sample_type	ENSG00000175054.14	ENSG00000149554.12	ENSG00000108064.10
TCGA-WC-A87W-01	TCGA-WC-A87W-01	UVM	Primary Tumor	2.848	1.84	3.896
TCGA-WC-A87T-01	TCGA-WC-A87T-01	UVM	Primary Tumor	2.797	1.105	3.429
TCGA-WC-A87U-01	TCGA-WC-A87U-01	UVM	Primary Tumor	2.441	1.233	2.848
TCGA-WC-A881-01	TCGA-WC-A881-01	UVM	Primary Tumor	2.433	0.4657	2.011
TCGA-VD-A8K7-01	TCGA-VD-A8K7-01	UVM	Primary Tumor	2.311	1.177	3.645
TCGA-V4-A9EK-01	TCGA-V4-A9EK-01	UVM	Primary Tumor	2.29	1.357	3.692
TCGA-V4-A9F7-01	TCGA-V4-A9F7-01	UVM	Primary Tumor	2.272	0.7748	3.361
TCGA-V4-A9EL-01	TCGA-V4-A9EL-01	UVM	Primary Tumor	2.257	1.406	2.998
TCGA-V4-A9F3-01	TCGA-V4-A9F3-01	UVM	Primary Tumor	2.248	2.151	4.162
TCGA-V4-A9EV-01	TCGA-V4-A9EV-01	UVM	Primary Tumor	2.221	0.605	2.844
TCGA-V4-A9EE-01	TCGA-V4-A9EE-01	UVM	Primary Tumor	2.214	2.368	3.739
TCGA-V4-A9EH-01	TCGA-V4-A9EH-01	UVM	Primary Tumor	2.148	1.317	2.088
TCGA-WC-AA9E-01	TCGA-WC-AA9E-01	UVM	Primary Tumor	2.118	1.848	3.425
TCGA-VD-AA8T-01	TCGA-VD-AA8T-01	UVM	Primary Tumor	2.095	1.164	3.29
TCGA-VD-A8KJ-01	TCGA-VD-A8KJ-01	UVM	Primary Tumor	2.064	1.334	3.514
TCGA-VD-A8KO-01	TCGA-VD-A8KO-01	UVM	Primary Tumor	2.046	1.864	4.023
TCGA-YZ-A980-01	TCGA-YZ-A980-01	UVM	Primary Tumor	1.945	1.015	2.607
TCGA-V4-A9EU-01	TCGA-V4-A9EU-01	UVM	Primary Tumor	1.934	1.145	3.636
TCGA-VD-A8K9-01	TCGA-VD-A8K9-01	UVM	Primary Tumor	1.93	0.8488	3.724
TCGA-WC-A880-01	TCGA-WC-A880-01	UVM	Primary Tumor	1.876	-0.2498	2.973
TCGA-VD-A8KM-01	TCGA-VD-A8KM-01	UVM	Primary Tumor	1.852	0.8164	2.339
TCGA-V4-A9EI-01	TCGA-V4-A9EI-01	UVM	Primary Tumor	1.787	2.425	3.692
TCGA-WC-A87Y-01	TCGA-WC-A87Y-01	UVM	Primary Tumor	1.787	1.029	3.048
TCGA-V4-A9F1-01	TCGA-V4-A9F1-01	UVM	Primary Tumor	1.77	1.491	3.277
TCGA-VD-A8KF-01	TCGA-VD-A8KF-01	UVM	Primary Tumor	1.705	1.412	3.79
TCGA-WC-AA9A-01	TCGA-WC-AA9A-01	UVM	Primary Tumor	1.669	1.293	1.945
TCGA-YZ-A983-01	TCGA-YZ-A983-01	UVM	Primary Tumor	1.6	1.239	2.795
TCGA-WC-A888-01	TCGA-WC-A888-01	UVM	Primary Tumor	1.585	0.6425	1.732
TCGA-VD-AA8R-01	TCGA-VD-AA8R-01	UVM	Primary Tumor	1.546	0.3115	3.248
TCGA-VD-A8KD-01	TCGA-VD-A8KD-01	UVM	Primary Tumor	1.481	1.34	2.738
TCGA-WC-A883-01	TCGA-WC-A883-01	UVM	Primary Tumor	1.444	1.783	1.783
TCGA-V4-A9EX-01	TCGA-V4-A9EX-01	UVM	Primary Tumor	1.379	1.749	3.683
TCGA-RZ-AB0B-01	TCGA-RZ-AB0B-01	UVM	Primary Tumor	1.334	0.9115	3.31
TCGA-VD-A8KH-01	TCGA-VD-A8KH-01	UVM	Primary Tumor	1.322	1.328	2.86
TCGA-VD-A8K8-01	TCGA-VD-A8K8-01	UVM	Primary Tumor	1.317	1.585	3.009
TCGA-VD-A8KE-01	TCGA-VD-A8KE-01	UVM	Primary Tumor	1.183	0.4016	1.915
TCGA-WC-A884-01	TCGA-WC-A884-01	UVM	Primary Tumor	1.158	0.9038	2.248
TCGA-V4-A9F4-01	TCGA-V4-A9F4-01	UVM	Primary Tumor	1.078	1.057	3.438
TCGA-YZ-A982-01	TCGA-YZ-A982-01	UVM	Primary Tumor	1.057	1.804	1.852
TCGA-V4-A9F2-01	TCGA-V4-A9F2-01	UVM	Primary Tumor	1.036	1.085	1.132
TCGA-V3-A9ZX-01	TCGA-V3-A9ZX-01	UVM	Primary Tumor	1.001	2.115	3.28
TCGA-VD-A8KG-01	TCGA-VD-A8KG-01	UVM	Primary Tumor	0.9935	0.547	1.465
TCGA-V4-A9EJ-01	TCGA-V4-A9EJ-01	UVM	Primary Tumor	0.9115	1.164	2.266
TCGA-VD-AA8Q-01	TCGA-VD-AA8Q-01	UVM	Primary Tumor	0.8568	-0.1993	-0.3022
TCGA-V4-A9EO-01	TCGA-V4-A9EO-01	UVM	Primary Tumor	0.8246	1.556	3.373
TCGA-V4-A9F0-01	TCGA-V4-A9F0-01	UVM	Primary Tumor	0.8164	0.7748	1.888
TCGA-VD-A8KA-01	TCGA-VD-A8KA-01	UVM	Primary Tumor	0.7999	0.7579	2.759
TCGA-WC-A88A-01	TCGA-WC-A88A-01	UVM	Primary Tumor	0.7233	1.281	2.325
TCGA-VD-A8KN-01	TCGA-VD-A8KN-01	UVM	Primary Tumor	0.6517	1.252	2.791
TCGA-V4-A9EC-01	TCGA-V4-A9EC-01	UVM	Primary Tumor	0.6517	0.4865	1.171
TCGA-VD-A8KB-01	TCGA-VD-A8KB-01	UVM	Primary Tumor	0.605	0.8568	1.896
TCGA-VD-AA8S-01	TCGA-VD-AA8S-01	UVM	Primary Tumor	0.4761	1.209	1.151
TCGA-VD-A8KK-01	TCGA-VD-A8KK-01	UVM	Primary Tumor	0.4761	1.196	0.605
TCGA-V4-A9ES-01	TCGA-V4-A9ES-01	UVM	Primary Tumor	0.4552	2.053	2.368
TCGA-VD-AA8O-01	TCGA-VD-AA8O-01	UVM	Primary Tumor	0.4552	1.522	1.029
TCGA-V4-A9EW-01	TCGA-V4-A9EW-01	UVM	Primary Tumor	0.3231	1.434	2.899
TCGA-V4-A9E9-01	TCGA-V4-A9E9-01	UVM	Primary Tumor	0.1388	1.362	0.4657
TCGA-VD-AA8M-01	TCGA-VD-AA8M-01	UVM	Primary Tumor	0.1257	0.3115	1.522
TCGA-V4-A9ET-01	TCGA-V4-A9ET-01	UVM	Primary Tumor	0.0718	1.537	0.6608
TCGA-WC-A885-01	TCGA-WC-A885-01	UVM	Primary Tumor	0.058	1.362	0.679
TCGA-V4-A9ED-01	TCGA-V4-A9ED-01	UVM	Primary Tumor	0.0158	0.9789	0.9268
TCGA-V4-A9EF-01	TCGA-V4-A9EF-01	UVM	Primary Tumor	-0.013	1.029	1.903
TCGA-V4-A9E8-01	TCGA-V4-A9E8-01	UVM	Primary Tumor	-0.0425	1.227	0.044
TCGA-VD-A8KI-01	TCGA-VD-A8KI-01	UVM	Primary Tumor	-0.0574	0.9419	0.7999
TCGA-V3-A9ZY-01	TCGA-V3-A9ZY-01	UVM	Primary Tumor	-0.1993	0.2642	0.9343
TCGA-V4-A9EM-01	TCGA-V4-A9EM-01	UVM	Primary Tumor	-0.2498	1.311	1.884
TCGA-YZ-A984-01	TCGA-YZ-A984-01	UVM	Primary Tumor	-0.2671	-0.7346	0.9568
TCGA-YZ-A985-01	TCGA-YZ-A985-01	UVM	Primary Tumor	-0.4131	1.808	1.745
TCGA-VD-A8KL-01	TCGA-VD-A8KL-01	UVM	Primary Tumor	-0.4325	0.605	0.6425
TCGA-V4-A9E5-01	TCGA-V4-A9E5-01	UVM	Primary Tumor	-0.6643	1.6	0.058
TCGA-V4-A9F5-01	TCGA-V4-A9F5-01	UVM	Primary Tumor	-0.6873	1.486	0.8568
TCGA-V4-A9F8-01	TCGA-V4-A9F8-01	UVM	Primary Tumor	-0.8084	1.628	0.5955
TCGA-VD-AA8N-01	TCGA-VD-AA8N-01	UVM	Primary Tumor	-0.9132	-0.3022	1.085
TCGA-VD-AA8P-01	TCGA-VD-AA8P-01	UVM	Primary Tumor	-0.9406	1.434	2.48
TCGA-V4-A9EY-01	TCGA-V4-A9EY-01	UVM	Primary Tumor	-0.9406	-0.1993	-0.8863
TCGA-V4-A9EQ-01	TCGA-V4-A9EQ-01	UVM	Primary Tumor	-0.9971	0.9191	0.8246
TCGA-V4-A9EZ-01	TCGA-V4-A9EZ-01	UVM	Primary Tumor	-1.181	0.1776	-0.5973
TCGA-V4-A9EA-01	TCGA-V4-A9EA-01	UVM	Primary Tumor	-1.283	-0.1828	-0.9686
TCGA-WC-A882-01	TCGA-WC-A882-01	UVM	Primary Tumor	-1.552	0.3907	0.4761
TCGA-N5-A4RT-01	TCGA-N5-A4RT-01	UCS	Primary Tumor	4.743	4.703	4.825
TCGA-N5-A4RS-01	TCGA-N5-A4RS-01	UCS	Primary Tumor	4.436	3.793	3.178
TCGA-N5-A4RO-01	TCGA-N5-A4RO-01	UCS	Primary Tumor	4.142	4.265	3.89
TCGA-ND-A4WA-01	TCGA-ND-A4WA-01	UCS	Primary Tumor	4.008	3.189	4.315
TCGA-N5-A4RD-01	TCGA-N5-A4RD-01	UCS	Primary Tumor	4.005	2.928	4.305
TCGA-N8-A4PN-01	TCGA-N8-A4PN-01	UCS	Primary Tumor	3.878	5.056	5.065
TCGA-N9-A4Q3-01	TCGA-N9-A4Q3-01	UCS	Primary Tumor	3.872	3.505	4.129
TCGA-N8-A4PO-01	TCGA-N8-A4PO-01	UCS	Primary Tumor	3.818	4.866	4.459
TCGA-NA-A4QV-01	TCGA-NA-A4QV-01	UCS	Primary Tumor	3.802	3.434	4.562
TCGA-N8-A4PP-01	TCGA-N8-A4PP-01	UCS	Primary Tumor	3.761	3.966	5.558
TCGA-N6-A4VC-01	TCGA-N6-A4VC-01	UCS	Primary Tumor	3.74	4.366	4.544
TCGA-N5-A4RM-01	TCGA-N5-A4RM-01	UCS	Primary Tumor	3.706	2.439	3.115
TCGA-N7-A4Y0-01	TCGA-N7-A4Y0-01	UCS	Primary Tumor	3.705	4.03	2.785
TCGA-N9-A4PZ-01	TCGA-N9-A4PZ-01	UCS	Primary Tumor	3.686	2.642	2.987
TCGA-N6-A4VE-01	TCGA-N6-A4VE-01	UCS	Primary Tumor	3.672	4.891	3.84
TCGA-N9-A4Q8-01	TCGA-N9-A4Q8-01	UCS	Primary Tumor	3.661	4.408	3.905
TCGA-NA-A5I1-01	TCGA-NA-A5I1-01	UCS	Primary Tumor	3.645	2.637	3.641
TCGA-N8-A56S-01	TCGA-N8-A56S-01	UCS	Primary Tumor	3.614	4.732	4.556
TCGA-N5-A59E-01	TCGA-N5-A59E-01	UCS	Primary Tumor	3.61	1.896	2.454
TCGA-NF-A4WX-01	TCGA-NF-A4WX-01	UCS	Primary Tumor	3.573	3.776	4.099
TCGA-N9-A4Q1-01	TCGA-N9-A4Q1-01	UCS	Primary Tumor	3.512	4.142	2.987
TCGA-NA-A4QX-01	TCGA-NA-A4QX-01	UCS	Primary Tumor	3.484	3.951	4.3
TCGA-NF-A4WU-01	TCGA-NF-A4WU-01	UCS	Primary Tumor	3.444	3.773	3.822
TCGA-N5-A4R8-01	TCGA-N5-A4R8-01	UCS	Primary Tumor	3.434	3.861	4.404
TCGA-N5-A4RJ-01	TCGA-N5-A4RJ-01	UCS	Primary Tumor	3.41	3.522	2.091
TCGA-N6-A4VD-01	TCGA-N6-A4VD-01	UCS	Primary Tumor	3.37	3.557	4.106
TCGA-N6-A4V9-01	TCGA-N6-A4V9-01	UCS	Primary Tumor	3.359	2.822	3.612
TCGA-N8-A4PI-01	TCGA-N8-A4PI-01	UCS	Primary Tumor	3.31	4.003	4.535
TCGA-QN-A5NN-01	TCGA-QN-A5NN-01	UCS	Primary Tumor	3.256	3.997	2.77
TCGA-N8-A4PL-01	TCGA-N8-A4PL-01	UCS	Primary Tumor	3.245	3.878	4.336
TCGA-NF-A4X2-01	TCGA-NF-A4X2-01	UCS	Primary Tumor	3.143	4.213	4.096
TCGA-NA-A4R0-01	TCGA-NA-A4R0-01	UCS	Primary Tumor	3.143	3.506	3.714
TCGA-N6-A4VG-01	TCGA-N6-A4VG-01	UCS	Primary Tumor	3.098	4.253	4.492
TCGA-N7-A4Y5-01	TCGA-N7-A4Y5-01	UCS	Primary Tumor	3.059	2.454	3.305
TCGA-N9-A4Q7-01	TCGA-N9-A4Q7-01	UCS	Primary Tumor	3.034	4.122	2.287
TCGA-N5-A59F-01	TCGA-N5-A59F-01	UCS	Primary Tumor	3.032	3.484	3.551
TCGA-NF-A5CP-01	TCGA-NF-A5CP-01	UCS	Primary Tumor	3.029	4.408	4.153
TCGA-N7-A59B-01	TCGA-N7-A59B-01	UCS	Primary Tumor	2.964	3.565	1.938
TCGA-NG-A4VW-01	TCGA-NG-A4VW-01	UCS	Primary Tumor	2.954	4.765	4.721
TCGA-N5-A4RN-01	TCGA-N5-A4RN-01	UCS	Primary Tumor	2.941	4.864	3.694
TCGA-N9-A4Q4-01	TCGA-N9-A4Q4-01	UCS	Primary Tumor	2.939	4.504	3.707
TCGA-NA-A4QW-01	TCGA-NA-A4QW-01	UCS	Primary Tumor	2.936	4.094	4.968
TCGA-N8-A4PQ-01	TCGA-N8-A4PQ-01	UCS	Primary Tumor	2.922	4.358	4.275
TCGA-N6-A4VF-01	TCGA-N6-A4VF-01	UCS	Primary Tumor	2.749	4.114	3.05
TCGA-N5-A4RA-01	TCGA-N5-A4RA-01	UCS	Primary Tumor	2.727	3.014	2.714
TCGA-N5-A4RU-01	TCGA-N5-A4RU-01	UCS	Primary Tumor	2.705	4.465	4.184
TCGA-QM-A5NM-01	TCGA-QM-A5NM-01	UCS	Primary Tumor	2.63	3.242	1.856
TCGA-NG-A4VU-01	TCGA-NG-A4VU-01	UCS	Primary Tumor	2.616	3.575	4.527
TCGA-ND-A4WF-01	TCGA-ND-A4WF-01	UCS	Primary Tumor	2.588	3.449	2.93
TCGA-ND-A4W6-01	TCGA-ND-A4W6-01	UCS	Primary Tumor	2.544	3.391	2.305
TCGA-N8-A4PM-01	TCGA-N8-A4PM-01	UCS	Primary Tumor	2.48	3.758	2.251
TCGA-NA-A4R1-01	TCGA-NA-A4R1-01	UCS	Primary Tumor	2.431	4.803	4.374
TCGA-N7-A4Y8-01	TCGA-N7-A4Y8-01	UCS	Primary Tumor	2.337	3.369	1.385
TCGA-NA-A4QY-01	TCGA-NA-A4QY-01	UCS	Primary Tumor	2.302	3.746	4.171
TCGA-ND-A4WC-01	TCGA-ND-A4WC-01	UCS	Primary Tumor	2.183	4.463	4.574
TCGA-N5-A4RF-01	TCGA-N5-A4RF-01	UCS	Primary Tumor	1.993	3.988	2.649
TCGA-N5-A4RV-01	TCGA-N5-A4RV-01	UCS	Primary Tumor	1.47	4.249	2.683
TCGA-AJ-A8CT-01	TCGA-AJ-A8CT-01	UCEC	Primary Tumor	4.741	0.7146	2.221
TCGA-AX-A3FW-01	TCGA-AX-A3FW-01	UCEC	Primary Tumor	4.627	3.453	3.368
TCGA-EY-A3QX-01	TCGA-EY-A3QX-01	UCEC	Primary Tumor	4.592	3.572	4.172
TCGA-KP-A3W3-01	TCGA-KP-A3W3-01	UCEC	Primary Tumor	4.454	3.022	4.059
TCGA-AX-A3G3-01	TCGA-AX-A3G3-01	UCEC	Primary Tumor	4.432	4.117	3.148
TCGA-AX-A3G4-01	TCGA-AX-A3G4-01	UCEC	Primary Tumor	4.37	2.534	1.941
TCGA-AX-A3GI-01	TCGA-AX-A3GI-01	UCEC	Primary Tumor	4.247	4.169	5.305
TCGA-AX-A3FX-01	TCGA-AX-A3FX-01	UCEC	Primary Tumor	4.246	2.559	2.227
TCGA-AX-A3G6-01	TCGA-AX-A3G6-01	UCEC	Primary Tumor	4.235	4.25	3.165
TCGA-D1-A3JP-01	TCGA-D1-A3JP-01	UCEC	Primary Tumor	4.186	2.157	3.402
TCGA-FI-A3PX-01	TCGA-FI-A3PX-01	UCEC	Primary Tumor	4.173	4.615	4.2
TCGA-FI-A3PV-01	TCGA-FI-A3PV-01	UCEC	Primary Tumor	4.17	3.506	3.597
TCGA-DI-A1C3-01	TCGA-DI-A1C3-01	UCEC	Primary Tumor	4.168	2.06	1.6
TCGA-D1-A3DH-01	TCGA-D1-A3DH-01	UCEC	Primary Tumor	4.166	3.597	3.886
TCGA-EO-A3KX-01	TCGA-EO-A3KX-01	UCEC	Primary Tumor	4.136	4.379	4.086
TCGA-2E-A9G8-01	TCGA-2E-A9G8-01	UCEC	Primary Tumor	4.047	3.717	3.793
TCGA-K6-A3WQ-01	TCGA-K6-A3WQ-01	UCEC	Primary Tumor	4.021	3.698	2.755
TCGA-EY-A4KR-01	TCGA-EY-A4KR-01	UCEC	Primary Tumor	4.007	3.144	4.51
TCGA-AJ-A8CV-01	TCGA-AJ-A8CV-01	UCEC	Primary Tumor	4.007	2.924	2.932
TCGA-DF-A2KV-01	TCGA-DF-A2KV-01	UCEC	Primary Tumor	3.963	3.106	2.373
TCGA-DI-A2QY-01	TCGA-DI-A2QY-01	UCEC	Primary Tumor	3.939	2.63	2.161
TCGA-D1-A3JQ-01	TCGA-D1-A3JQ-01	UCEC	Primary Tumor	3.911	3.766	4.187
TCGA-AJ-A3I9-01	TCGA-AJ-A3I9-01	UCEC	Primary Tumor	3.887	4.854	4.234
TCGA-B5-A11R-01	TCGA-B5-A11R-01	UCEC	Primary Tumor	3.865	3.373	4.48
TCGA-BK-A56F-01	TCGA-BK-A56F-01	UCEC	Primary Tumor	3.863	3.352	4.235
TCGA-BK-A139-01	TCGA-BK-A139-01	UCEC	Primary Tumor	3.812	2.958	4.297
TCGA-B5-A3F9-01	TCGA-B5-A3F9-01	UCEC	Primary Tumor	3.805	3.557	3.638
TCGA-PG-A914-01	TCGA-PG-A914-01	UCEC	Primary Tumor	3.801	2.888	4.304
TCGA-A5-A1OH-01	TCGA-A5-A1OH-01	UCEC	Primary Tumor	3.792	4.237	4.663
TCGA-PG-A5BC-01	TCGA-PG-A5BC-01	UCEC	Primary Tumor	3.79	4.268	3.806
TCGA-KJ-A3U4-01	TCGA-KJ-A3U4-01	UCEC	Primary Tumor	3.779	3.308	4.087
TCGA-KP-A3W1-01	TCGA-KP-A3W1-01	UCEC	Primary Tumor	3.77	2.568	3.682
TCGA-AJ-A3NC-01	TCGA-AJ-A3NC-01	UCEC	Primary Tumor	3.768	2.71	4.344
TCGA-B5-A3FD-01	TCGA-B5-A3FD-01	UCEC	Primary Tumor	3.751	3.458	2.546
TCGA-EY-A3L3-01	TCGA-EY-A3L3-01	UCEC	Primary Tumor	3.747	3.644	4.665
TCGA-BG-A3PP-01	TCGA-BG-A3PP-01	UCEC	Primary Tumor	3.747	2.919	3.034
TCGA-AJ-A6NU-01	TCGA-AJ-A6NU-01	UCEC	Primary Tumor	3.745	4.154	5.171
TCGA-5B-A90C-01	TCGA-5B-A90C-01	UCEC	Primary Tumor	3.734	4.547	4.705
TCGA-AP-A5FX-01	TCGA-AP-A5FX-01	UCEC	Primary Tumor	3.724	1.66	2.808
TCGA-EY-A72D-01	TCGA-EY-A72D-01	UCEC	Primary Tumor	3.678	3.877	4.811
TCGA-QF-A5YS-01	TCGA-QF-A5YS-01	UCEC	Primary Tumor	3.67	3.765	3.274
TCGA-KP-A3W4-01	TCGA-KP-A3W4-01	UCEC	Primary Tumor	3.662	3.477	3.855
TCGA-QS-A744-01	TCGA-QS-A744-01	UCEC	Primary Tumor	3.652	4.519	5.166
TCGA-AJ-A5DV-01	TCGA-AJ-A5DV-01	UCEC	Primary Tumor	3.647	3.323	4.071
TCGA-A5-A2K4-01	TCGA-A5-A2K4-01	UCEC	Primary Tumor	3.638	3.365	4.347
TCGA-AX-A3G9-01	TCGA-AX-A3G9-01	UCEC	Primary Tumor	3.637	4.041	2.943
TCGA-AJ-A3EM-01	TCGA-AJ-A3EM-01	UCEC	Primary Tumor	3.631	4.507	4.746
TCGA-B5-A3FB-01	TCGA-B5-A3FB-01	UCEC	Primary Tumor	3.622	3.436	4.302
TCGA-PG-A916-01	TCGA-PG-A916-01	UCEC	Primary Tumor	3.618	2.467	3.467
TCGA-EY-A547-01	TCGA-EY-A547-01	UCEC	Primary Tumor	3.615	3.856	2.551
TCGA-QS-A5YQ-01	TCGA-QS-A5YQ-01	UCEC	Primary Tumor	3.614	2.417	1.561
TCGA-B5-A5OC-01	TCGA-B5-A5OC-01	UCEC	Primary Tumor	3.611	2.671	3.553
TCGA-AJ-A2QM-01	TCGA-AJ-A2QM-01	UCEC	Primary Tumor	3.609	3.24	5.494
TCGA-AX-A2HH-01	TCGA-AX-A2HH-01	UCEC	Primary Tumor	3.602	4.403	5.279
TCGA-JU-AAVI-01	TCGA-JU-AAVI-01	UCEC	Primary Tumor	3.582	3.032	2.345
TCGA-B5-A3S1-01	TCGA-B5-A3S1-01	UCEC	Primary Tumor	3.556	3.824	4.864
TCGA-AX-A3FZ-01	TCGA-AX-A3FZ-01	UCEC	Primary Tumor	3.555	4.716	3.934
TCGA-AX-A3FT-01	TCGA-AX-A3FT-01	UCEC	Primary Tumor	3.551	3.521	2.905
TCGA-SJ-A6ZI-01	TCGA-SJ-A6ZI-01	UCEC	Primary Tumor	3.532	3.381	4.505
TCGA-BG-A0MK-01	TCGA-BG-A0MK-01	UCEC	Primary Tumor	3.514	1.428	3.034
TCGA-BK-A0CA-01	TCGA-BK-A0CA-01	UCEC	Primary Tumor	3.505	2.441	3.422
TCGA-EY-A54A-01	TCGA-EY-A54A-01	UCEC	Primary Tumor	3.496	4.285	4.966
TCGA-B5-A1MS-01	TCGA-B5-A1MS-01	UCEC	Primary Tumor	3.492	4.337	5.03
TCGA-A5-A7WJ-01	TCGA-A5-A7WJ-01	UCEC	Primary Tumor	3.492	4.328	4.922
TCGA-BK-A6W3-01	TCGA-BK-A6W3-01	UCEC	Primary Tumor	3.492	3.998	4.54
TCGA-AX-A3FV-01	TCGA-AX-A3FV-01	UCEC	Primary Tumor	3.488	5.49	4.629
TCGA-E6-A8L9-01	TCGA-E6-A8L9-01	UCEC	Primary Tumor	3.487	2.685	2.928
TCGA-AX-A2H4-01	TCGA-AX-A2H4-01	UCEC	Primary Tumor	3.484	2.614	2.467
TCGA-EO-A3KW-01	TCGA-EO-A3KW-01	UCEC	Primary Tumor	3.477	3.287	4.185
TCGA-QS-A5YR-01	TCGA-QS-A5YR-01	UCEC	Primary Tumor	3.474	3.469	1.795
TCGA-EY-A549-01	TCGA-EY-A549-01	UCEC	Primary Tumor	3.474	1.656	3.592
TCGA-AJ-A3BD-01	TCGA-AJ-A3BD-01	UCEC	Primary Tumor	3.473	3.409	2.46
TCGA-EY-A2OO-01	TCGA-EY-A2OO-01	UCEC	Primary Tumor	3.473	3.248	4.255
TCGA-SJ-A6ZJ-01	TCGA-SJ-A6ZJ-01	UCEC	Primary Tumor	3.473	2.776	2.685
TCGA-BK-A0CC-01	TCGA-BK-A0CC-01	UCEC	Primary Tumor	3.469	2.985	2.679
TCGA-AJ-A3QS-01	TCGA-AJ-A3QS-01	UCEC	Primary Tumor	3.457	3.532	5.213
TCGA-AX-A3G1-01	TCGA-AX-A3G1-01	UCEC	Primary Tumor	3.441	4.365	3.178
TCGA-AP-A3K1-01	TCGA-AP-A3K1-01	UCEC	Primary Tumor	3.437	2.852	2.653
TCGA-EY-A548-01	TCGA-EY-A548-01	UCEC	Primary Tumor	3.437	1.86	3.251
TCGA-EO-A1Y7-01	TCGA-EO-A1Y7-01	UCEC	Primary Tumor	3.436	2.614	3.014
TCGA-EO-A3KU-01	TCGA-EO-A3KU-01	UCEC	Primary Tumor	3.432	3.833	4.453
TCGA-4E-A92E-01	TCGA-4E-A92E-01	UCEC	Primary Tumor	3.429	3.207	4.685
TCGA-AX-A3GB-01	TCGA-AX-A3GB-01	UCEC	Primary Tumor	3.417	1.537	1.986
TCGA-DI-A2QT-01	TCGA-DI-A2QT-01	UCEC	Primary Tumor	3.412	1.043	3.349
TCGA-B5-A0JN-01	TCGA-B5-A0JN-01	UCEC	Primary Tumor	3.394	4.175	4.357
TCGA-AJ-A3OK-01	TCGA-AJ-A3OK-01	UCEC	Primary Tumor	3.368	0.1519	1.688
TCGA-DF-A2KY-01	TCGA-DF-A2KY-01	UCEC	Primary Tumor	3.358	3.676	2.585
TCGA-D1-A2G0-01	TCGA-D1-A2G0-01	UCEC	Primary Tumor	3.341	3.596	3.911
TCGA-A5-A7WK-01	TCGA-A5-A7WK-01	UCEC	Primary Tumor	3.336	3.745	3.639
TCGA-KP-A3VZ-01	TCGA-KP-A3VZ-01	UCEC	Primary Tumor	3.331	4.962	4.601
TCGA-EY-A2ON-01	TCGA-EY-A2ON-01	UCEC	Primary Tumor	3.325	3.448	4.276
TCGA-FI-A2EY-01	TCGA-FI-A2EY-01	UCEC	Primary Tumor	3.294	0.7146	0.688
TCGA-A5-A2K7-01	TCGA-A5-A2K7-01	UCEC	Primary Tumor	3.292	4.318	2.716
TCGA-A5-A3LO-01	TCGA-A5-A3LO-01	UCEC	Primary Tumor	3.29	5.595	4.926
TCGA-AJ-A3OL-01	TCGA-AJ-A3OL-01	UCEC	Primary Tumor	3.29	4.762	4.41
TCGA-EY-A1GX-01	TCGA-EY-A1GX-01	UCEC	Primary Tumor	3.29	2.164	3.913
TCGA-B5-A5OD-01	TCGA-B5-A5OD-01	UCEC	Primary Tumor	3.289	2.971	3.305
TCGA-B5-A0JR-01	TCGA-B5-A0JR-01	UCEC	Primary Tumor	3.287	3.728	4.057
TCGA-PG-A915-01	TCGA-PG-A915-01	UCEC	Primary Tumor	3.286	4.283	3.813
TCGA-AJ-A3EL-01	TCGA-AJ-A3EL-01	UCEC	Primary Tumor	3.284	4.738	3.479
TCGA-SL-A6J9-01	TCGA-SL-A6J9-01	UCEC	Primary Tumor	3.284	2.984	3.572
TCGA-AJ-A3NE-01	TCGA-AJ-A3NE-01	UCEC	Primary Tumor	3.283	4.216	5.106
TCGA-AJ-A3BF-01	TCGA-AJ-A3BF-01	UCEC	Primary Tumor	3.277	4.439	4.212
TCGA-AJ-A3NF-01	TCGA-AJ-A3NF-01	UCEC	Primary Tumor	3.274	4.232	4.37
TCGA-5S-A9Q8-01	TCGA-5S-A9Q8-01	UCEC	Primary Tumor	3.272	2.718	1.679
TCGA-PG-A7D5-01	TCGA-PG-A7D5-01	UCEC	Primary Tumor	3.269	4.044	4.318
TCGA-EO-A22Y-01	TCGA-EO-A22Y-01	UCEC	Primary Tumor	3.266	2.531	3.752
TCGA-AJ-A3NG-01	TCGA-AJ-A3NG-01	UCEC	Primary Tumor	3.265	4.777	4.866
TCGA-BK-A13B-01	TCGA-BK-A13B-01	UCEC	Primary Tumor	3.25	2.526	3.175
TCGA-DF-A2KU-01	TCGA-DF-A2KU-01	UCEC	Primary Tumor	3.245	4.651	1.868
TCGA-B5-A3FC-01	TCGA-B5-A3FC-01	UCEC	Primary Tumor	3.234	2.46	3.211
TCGA-E6-A2P9-01	TCGA-E6-A2P9-01	UCEC	Primary Tumor	3.233	3.512	4.653
TCGA-AJ-A3OJ-01	TCGA-AJ-A3OJ-01	UCEC	Primary Tumor	3.23	3.693	4.031
TCGA-BK-A6W4-01	TCGA-BK-A6W4-01	UCEC	Primary Tumor	3.227	3.013	4.718
TCGA-AJ-A8CW-01	TCGA-AJ-A8CW-01	UCEC	Primary Tumor	3.217	4.083	4.911
TCGA-AX-A3G7-01	TCGA-AX-A3G7-01	UCEC	Primary Tumor	3.214	2.224	2.956
TCGA-AJ-A3IA-01	TCGA-AJ-A3IA-01	UCEC	Primary Tumor	3.21	3.002	4.629
TCGA-B5-A3FA-01	TCGA-B5-A3FA-01	UCEC	Primary Tumor	3.208	2.678	4.088
